channel,acceptance
0,0.9467
1,0.0000
2,0.0000
3,0.9146
4,0.9438
5,0.9241
6,0.9210
7,0.9397
8,0.9349
9,0.9434
10,0.9434
11,0.9536
12,0.0000
13,0.9232
14,0.9350
15,0.9428
16,0.9045
17,0.9288
18,0.9348
19,0.9444
20,0.9072
21,0.9067
22,0.9705
23,0.9462
24,0.9235
25,0.8919
26,0.0000
27,0.0000
28,0.9474
29,0.9211
30,0.9558
31,0.8751
32,0.9271
33,0.9408
34,0.0000
35,0.9411
36,0.9332
37,0.9313
38,0.9660
39,0.9425
40,0.9391
41,0.9866
42,0.9284
43,0.9604
44,0.9377
45,0.6510
46,0.8697
47,0.9280
48,0.9012
49,0.9314
50,0.9674
51,0.9429
52,0.9423
53,0.9466
54,0.9681
55,0.9122
56,0.9886
57,0.9527
58,0.5797
59,0.9189
60,0.9460
61,0.9213
62,0.0000
63,0.9270
64,0.9674
65,0.0000
66,0.8972
67,0.8791
68,0.9685
69,0.9169
70,0.9503
71,0.8895
72,0.9298
73,0.0135
74,0.9602
75,0.9550
76,0.9464
77,0.9427
78,0.9061
79,0.0000
80,0.9417
81,0.9722
82,0.9407
83,0.9431
84,0.9608
85,0.9729
86,0.0000
87,0.9071
88,0.0000
89,0.9551
90,0.9292
91,0.0000
92,0.9728
93,0.9314
94,0.9603
95,0.9391
96,0.6432
97,0.9344
98,0.9022
99,0.9239
100,0.9365
101,0.9258
102,0.0000
103,0.9539
104,0.9495
105,0.9867
106,0.9607
107,0.9154
108,0.9379
109,0.9883
110,0.8792
111,0.9413
112,0.9086
113,0.9223
114,0.9190
115,0.9152
116,0.9523
117,0.9423
118,0.0000
119,0.8988
120,0.9280
121,0.9646
122,0.9469
123,0.9434
124,0.9360
125,0.9196
126,1.0119
127,0.9305
128,0.9114
129,0.9449
130,0.0000
131,0.9325
132,0.9097
133,0.9475
134,0.0000
135,0.0000
136,0.9358
137,-0.0077
138,0.9758
139,0.0000
140,0.9493
141,0.9556
142,0.9115
143,0.9154
144,0.9312
145,0.9325
146,0.9243
147,0.9589
148,0.0000
149,0.8817
150,0.0000
151,0.9389
152,0.0000
153,0.9312
154,0.9294
155,0.9406
156,0.9519
157,0.9249
158,0.9373
159,0.9597
160,0.9255
161,0.9326
162,0.0000
163,0.9317
164,0.9361
165,0.9378
166,0.9457
167,0.0000
168,0.9286
169,0.9512
170,0.9102
171,0.9120
172,0.9295
173,0.9228
174,0.9024
175,0.9121
176,0.9350
177,0.9537
178,0.0000
179,0.7761
180,0.9003
181,0.9797
182,0.9434
183,0.0000
184,0.9436
185,0.8757
186,0.9437
187,0.9467
188,0.8415
189,0.8942
190,-0.0005
191,0.9144
192,0.9593
193,0.9264
194,0.9083
195,0.8443
196,0.9218
197,0.9584
198,0.0000
199,0.9538
200,0.8541
201,0.9280
202,0.9047
203,0.0000
204,0.9531
205,0.7912
206,0.0000
207,0.8468
208,0.9248
209,0.9240
210,0.9007
211,0.9571
212,0.9536
213,0.0000
214,0.0000
215,0.8992
216,0.9246
217,0.8784
218,0.8965
219,0.9563
220,0.9251
221,0.9515
222,0.9340
223,0.9389
224,0.9494
225,0.9302
226,0.9503
227,0.9160
228,0.9058
229,0.9753
230,0.9337
231,0.9395
232,0.9158
233,0.9167
234,0.0000
235,0.9255
236,0.8923
237,0.9059
238,0.9807
239,0.0000
240,0.9197
241,0.8900
242,0.9052
243,0.8617
244,0.0000
245,0.8598
246,0.8606
247,0.9482
