ch,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
0,90,83,78,74,70,68,65,62,59,57,54,51,48,45,40,34,27,16,7
1,15,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12
2,75,69,65,62,59,56,54,52,49,47,45,43,40,37,34,30,25,17,8
3,82,75,70,66,63,60,58,55,53,51,48,45,43,40,36,32,26,17,8
4,151,137,128,121,115,110,104,99,94,90,85,80,73,65,56,43,23,9,7
5,82,75,70,66,63,60,57,54,51,48,45,41,36,30,21,10,7,7,6
6,192,175,164,157,150,144,139,134,129,124,119,114,110,105,99,95,89,81,73
7,90,82,77,73,69,66,63,61,58,56,53,51,48,45,42,39,35,30,23
8,90,82,77,73,69,66,63,60,57,55,52,48,45,41,37,31,23,14,8
9,131,121,113,107,103,98,94,90,86,82,78,74,69,64,58,50,39,24,10
10,91,83,78,74,70,67,64,61,58,55,52,48,44,40,35,27,16,8,7
11,115,105,100,94,90,86,82,79,76,72,69,65,61,57,53,46,38,27,15
12,10,9,9,9,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6
13,116,105,98,93,88,84,80,76,72,68,64,59,53,46,35,19,9,7,7
14,82,75,70,67,63,60,58,55,53,51,48,45,42,39,34,27,19,10,7
15,91,83,78,74,71,68,65,62,60,57,55,52,49,46,42,37,31,22,11
16,95,87,82,77,73,69,66,63,59,55,50,44,36,23,9,8,7,7,6
17,81,74,69,65,62,59,57,54,52,49,47,45,42,39,35,30,24,15,7
18,86,79,75,71,68,66,63,61,58,56,54,51,48,45,41,36,30,21,11
19,89,83,77,74,71,68,66,64,61,59,57,55,53,51,49,46,44,41,38
20,92,84,79,75,72,68,65,63,60,58,55,52,49,46,42,36,30,19,8
21,84,77,72,68,65,62,60,57,55,52,50,47,44,41,37,32,25,16,8
22,169,155,145,139,133,127,122,117,113,108,103,99,93,87,81,73,63,50,29
23,92,84,79,75,71,68,65,63,60,58,55,52,49,46,42,37,30,20,8
24,116,107,101,95,91,86,83,79,75,72,67,63,58,52,44,32,16,8,7
25,86,79,73,69,66,62,59,56,53,50,46,43,39,33,24,13,8,7,6
26,9,9,8,8,8,7,7,7,7,7,7,7,7,6,6,6,6,6,6
27,22,20,18,17,16,15,13,12,11,9,8,8,7,7,7,7,6,6,6
28,89,82,77,73,70,67,64,62,59,57,54,51,48,45,41,36,29,19,8
29,86,79,74,69,66,62,59,56,53,49,45,41,35,25,14,8,7,7,6
30,149,138,130,125,119,115,111,107,103,99,95,90,85,80,74,66,56,39,20
31,82,75,70,66,63,59,56,53,50,46,43,38,31,21,9,8,7,7,6
32,157,142,133,126,120,114,108,103,98,92,86,79,71,60,43,21,9,7,7
33,81,75,71,68,65,63,60,58,55,53,51,48,46,43,39,34,27,17,8
34,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
35,126,114,106,100,95,90,86,82,77,73,69,65,60,54,48,39,27,12,7
36,88,81,76,72,68,65,62,60,57,54,52,49,46,42,38,32,23,12,8
37,88,81,76,72,69,66,63,60,57,55,52,49,45,40,33,22,10,8,7
38,150,137,129,123,117,112,108,103,99,95,91,86,82,77,72,67,60,51,38
39,124,115,108,102,98,94,90,86,83,79,76,72,68,64,59,53,45,35,22
40,88,81,76,73,69,66,63,61,58,56,53,50,46,42,36,28,16,9,7
41,122,110,104,98,94,91,87,84,80,77,74,71,68,64,60,55,49,41,31
42,145,132,123,116,110,105,100,95,91,86,81,77,71,65,56,43,27,11,7
43,89,81,76,72,69,66,64,61,59,56,54,51,48,45,42,38,32,25,15
44,108,98,92,87,83,79,76,72,69,66,63,60,56,52,47,42,34,24,12
45,98,90,85,81,77,74,71,69,66,64,61,58,55,52,48,42,35,25,12
46,86,78,73,68,65,62,59,56,53,49,45,41,36,28,16,8,7,7,6
47,132,121,114,109,105,101,97,93,89,85,82,77,73,67,61,52,40,23,9
48,85,78,73,69,66,63,61,58,56,53,50,47,44,40,36,30,21,10,7
49,84,78,73,70,67,64,62,60,58,56,53,51,49,46,43,39,35,27,18
50,141,128,121,115,110,105,101,97,93,89,85,81,77,72,67,60,53,41,27
51,141,130,122,115,110,105,100,96,92,88,83,78,73,67,60,51,38,21,8
52,90,82,77,73,70,67,64,62,59,57,54,51,49,45,41,36,30,19,9
53,81,74,69,66,63,60,58,56,54,51,49,47,45,42,39,36,32,28,21
54,132,123,117,112,108,104,101,98,95,92,89,86,83,80,76,72,67,62,55
55,75,69,64,61,58,56,53,51,49,47,45,42,40,38,34,31,26,19,11
56,167,154,146,138,132,127,122,117,112,108,103,98,92,84,76,64,47,26,7
57,133,120,112,106,101,96,92,87,83,79,75,71,66,61,55,47,36,21,8
58,61,55,52,49,47,45,43,41,39,37,36,34,32,30,27,23,18,12,7
59,84,77,73,69,66,63,61,58,56,53,51,48,45,41,36,28,17,8,7
60,112,102,95,91,87,83,79,76,73,70,66,64,60,56,51,45,36,24,12
61,75,69,65,62,59,56,54,52,49,47,45,42,39,35,30,22,12,8,7
62,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6
63,151,137,128,121,115,109,104,100,94,89,84,78,73,66,56,45,27,10,7
64,133,122,114,109,104,99,94,90,86,82,77,73,68,62,54,44,29,13,7
65,11,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6
66,81,74,70,67,64,61,59,57,54,52,50,47,44,40,35,29,20,10,8
67,92,83,77,73,69,65,62,58,55,51,47,42,36,28,16,10,8,7,7
68,184,169,159,151,145,139,134,128,123,118,113,108,102,96,90,82,70,56,36
69,115,105,98,92,88,84,80,77,74,71,67,63,60,56,51,45,38,28,14
70,136,125,118,112,108,103,100,96,92,89,85,81,77,72,67,60,49,34,17
71,77,71,66,63,61,58,56,53,51,49,46,43,40,36,30,21,11,8,7
72,85,77,72,68,64,61,58,55,52,49,46,43,39,35,28,18,9,7,7
73,13,12,11,11,10,10,10,9,9,9,9,8,8,8,7,7,7,7,6
74,181,165,154,146,139,133,127,121,116,110,104,97,89,80,69,51,26,8,7
75,171,158,149,142,136,130,125,121,116,111,106,101,96,90,83,74,61,41,19
76,112,102,96,91,87,83,79,76,72,69,66,62,59,54,49,42,34,20,8
77,126,116,108,102,98,93,89,85,82,77,73,69,64,59,52,43,31,15,8
78,67,61,58,55,53,50,48,46,44,43,41,39,37,34,31,27,21,14,8
79,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
80,127,116,109,103,98,94,90,86,82,78,74,70,66,61,55,48,38,25,11
81,155,142,133,126,121,116,111,106,102,97,93,88,83,76,69,60,45,25,9
82,164,151,142,135,130,125,119,115,110,106,101,96,91,84,77,66,50,27,9
83,76,69,65,62,59,57,54,52,50,48,46,44,42,39,37,34,30,24,17
84,97,89,83,78,74,70,67,64,61,57,54,50,45,40,31,20,9,7,7
85,77,71,66,62,60,57,54,51,49,46,42,38,33,26,15,8,7,7,6
86,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6
87,89,82,77,73,70,67,64,61,59,56,53,49,45,39,31,19,9,7,6
88,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
89,101,91,86,82,78,75,72,69,66,63,61,58,56,52,49,45,40,33,24
90,88,80,75,71,67,64,62,59,56,54,51,49,46,42,38,33,27,17,8
91,26,23,22,21,20,19,18,18,17,16,15,15,14,13,13,12,11,10,9
92,126,115,109,104,100,96,93,89,86,83,79,76,72,68,63,56,47,34,19
93,86,79,74,71,67,65,62,60,58,55,53,51,48,45,42,38,32,23,13
94,112,103,97,92,88,84,81,77,74,71,68,65,61,58,54,48,42,31,19
95,162,148,140,134,128,123,118,114,109,105,100,96,91,86,80,72,62,48,30
96,169,153,143,136,129,123,118,112,107,101,96,90,83,75,66,53,35,14,7
97,113,104,98,93,89,86,83,80,77,74,71,68,65,61,57,53,47,39,28
98,80,73,68,64,61,59,56,53,51,48,46,43,40,36,31,24,14,8,7
99,84,77,73,69,66,63,61,58,56,54,51,49,46,42,38,33,26,17,8
100,87,80,75,71,67,64,62,59,57,54,52,49,46,43,40,35,29,20,10
101,115,105,98,93,89,84,81,77,74,70,67,63,59,54,49,41,31,18,8
102,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6
103,91,83,78,74,71,68,66,63,61,58,56,53,50,47,43,37,30,19,8
104,129,118,112,106,101,97,94,90,86,82,78,74,69,64,57,49,36,20,8
105,144,132,124,118,113,108,103,99,95,91,86,82,77,71,65,57,45,30,14
106,145,133,126,119,114,109,105,101,97,92,88,83,78,73,66,57,46,29,11
107,87,79,74,70,67,64,61,59,56,53,51,48,45,41,36,30,20,10,8
108,175,161,153,145,139,133,129,123,118,114,109,104,98,91,84,73,59,39,17
109,85,77,72,68,65,62,59,57,54,52,49,46,43,40,35,30,21,12,7
110,90,82,77,72,69,65,62,59,56,53,50,46,42,37,29,18,10,8,7
111,92,84,78,74,71,68,65,62,59,57,54,51,48,45,41,37,31,23,12
112,84,76,71,67,64,60,57,55,52,49,46,43,40,36,32,26,18,9,7
113,105,96,91,86,83,80,77,74,71,68,65,62,59,55,51,45,38,26,13
114,109,100,94,89,84,80,76,73,69,66,62,58,53,47,39,27,14,7,7
115,67,61,57,54,52,49,47,45,44,42,40,38,36,34,32,29,26,21,16
116,141,129,121,114,109,105,100,96,92,88,84,79,75,70,64,57,46,32,16
117,78,72,67,64,61,59,56,54,52,49,47,45,42,39,36,31,25,17,8
118,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
119,83,77,73,69,66,64,61,59,57,55,53,50,48,45,43,39,35,30,23
120,98,89,83,78,74,70,67,64,60,57,54,51,47,43,38,32,22,11,7
121,183,167,157,150,144,138,132,127,121,116,111,105,100,93,86,78,66,50,29
122,88,80,75,71,68,65,63,60,57,55,53,50,47,45,41,36,31,23,12
